"county","votes","type","name","race"
"Haralson","3120","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Harris","4284","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Hart","1807","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Heard","1211","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Henry","17821","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Houston","10928","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Irwin","708","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Jackson","5303","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Jasper","1225","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Jeff Davis","905","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Jefferson","1797","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Jenkins","548","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Johnson","606","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Jones","2410","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Lamar","1547","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Lanier","507","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Laurens","4550","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Lee","4035","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Liberty","3876","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Lincoln","813","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Long","1019","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Lowndes","5963","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Lumpkin","1614","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Macon","970","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Madison","2836","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Marion","723","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"McDuffie","1559","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"McIntosh","1014","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Meriwether","2896","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Miller","559","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Mitchell","2092","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Monroe","2644","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Montgomery","928","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Morgan","1829","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Murray","2820","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Muscogee","16990","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Newton","11449","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Oconee","3800","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Oglethorpe","1242","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Paulding","12241","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Peach","1692","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Pickens","2615","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Pierce","917","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Pike","1760","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Polk","2365","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Pulaski","453","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Putnam","1929","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Quitman","231","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Rabun","799","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Randolph","673","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Richmond","19560","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Rockdale","6349","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Schley","243","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Screven","1343","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Seminole","1000","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Spalding","5177","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Stephens","1222","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Stewart","458","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Sumter","2126","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Talbot","1075","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Taliaferro","126","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Tattnall","1371","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Taylor","665","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Telfair","800","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Terrell","1127","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Thomas","4109","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Tift","2801","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Toombs","1620","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Towns","829","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Treutlen","377","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Troup","6005","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Turner","681","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Twiggs","1040","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Union","2048","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Upson","1743","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Walker","5085","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Walton","10794","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Ware","2196","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Warren","461","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Washington","1732","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Wayne","1873","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Webster","225","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Wheeler","394","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"White","2453","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Whitfield","7970","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Wilcox","704","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Wilkes","944","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Wilkinson","1235","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Worth","2258","Election Day","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Appling","166","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Atkinson","40","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Bacon","61","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Baker","63","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Baldwin","413","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Banks","89","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Barrow","554","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Bartow","686","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Ben Hill","168","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Berrien","122","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Bibb","2113","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Bleckley","117","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Brantley","68","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Brooks","213","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Bryan","261","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Bulloch","449","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Burke","546","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Butts","157","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Calhoun","96","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Camden","486","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Candler","39","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Carroll","650","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Catoosa","209","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Charlton","64","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Chatham","3087","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Chattahoochee","12","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Chattooga","96","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Cherokee","2380","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Clarke","1358","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Clay","76","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Clayton","3117","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Clinch","50","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Cobb","11680","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Coffee","167","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Colquitt","227","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Columbia","1269","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Cook","109","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Coweta","1253","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Crawford","92","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Crisp","145","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Dade","42","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Dawson","168","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Decatur","245","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"DeKalb","10445","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Dodge","216","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Dooly","92","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Dougherty","1059","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Douglas","1430","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Early","180","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Echols","10","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Effingham","334","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Elbert","217","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Emanuel","145","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Evans","86","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Fannin","217","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Fayette","1143","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Floyd","534","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Forsyth","1892","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Franklin","145","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Fulton","8834","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Gilmer","183","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Glascock","27","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Glynn","826","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Gordon","198","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Grady","183","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Greene","224","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Gwinnett","10551","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Habersham","299","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Hall","1457","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Hancock","213","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Haralson","162","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Harris","295","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Hart","186","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Heard","101","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Henry","2334","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Houston","1440","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Irwin","52","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Jackson","438","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Jasper","153","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Jeff Davis","99","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Jefferson","258","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Jenkins","67","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Johnson","96","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Jones","369","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Lamar","160","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Lanier","42","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Laurens","539","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Lee","192","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Liberty","524","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Lincoln","116","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Long","86","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Lowndes","903","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Lumpkin","168","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Macon","168","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Madison","208","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Marion","116","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"McDuffie","355","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"McIntosh","177","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Meriwether","234","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Miller","42","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Mitchell","265","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Monroe","276","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Montgomery","69","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Morgan","173","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Murray","102","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Muscogee","2070","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Newton","1375","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Oconee","382","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Oglethorpe","152","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Paulding","1403","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Peach","201","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Pickens","72","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Pierce","113","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Pike","103","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Polk","166","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Pulaski","82","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Putnam","226","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Quitman","22","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Rabun","287","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Randolph","179","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Richmond","2416","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Rockdale","893","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Schley","44","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Screven","124","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Seminole","140","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Spalding","559","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Stephens","205","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Stewart","87","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Sumter","418","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Talbot","127","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Taliaferro","49","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Tattnall","151","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Taylor","117","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Telfair","212","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Terrell","165","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Thomas","463","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Tift","227","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Toombs","262","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Towns","91","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Treutlen","51","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Troup","566","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Turner","60","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Twiggs","151","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Union","168","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Upson","279","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Walker","327","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Walton","729","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Ware","262","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Warren","88","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Washington","310","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Wayne","181","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Webster","54","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Wheeler","34","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"White","200","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Whitfield","389","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Wilcox","68","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Wilkes","126","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Wilkinson","109","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Worth","132","Absentee by Mail","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Appling","1347","Advance in Person","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
"Atkinson","561","Advance in Person","YES","Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations."
